gene	cell	mean_umi	median_umi	mean_gene	median_gene
11320	1277682	10.5355863196007	1	7.91204932056646	1
11320	953	1287.11227701994	920	659.484784889822	595
6920	953	1285.47429171039	919	657.88352570829	594
6875	839	1436.64600715137	1123	727.554231227652	688
6875	836	1440.89354066986	1128.5	729.453349282297	690
6875	613	1588.16802610114	1385	789.026101141925	799
6875	612	1590.40849673203	1387.5	789.990196078431	799.5
