gene	cell	mean_umi	median_umi	mean_gene	median_gene
9098	91980	123.041900413133	65	92.2874646662318	59
9098	1432	1071.43505586592	669.5	574.23812849162	466.5
7118	1432	1070.45460893855	668.5	573.278631284916	466
7055	1190	1253.2537815126	894.5	660.145378151261	573
7055	1187	1255.78180286436	900	661.308340353833	574
7055	1059	1320.15297450425	974	687.637393767705	619
7055	1056	1323.18465909091	976	689.022727272727	620.5
